Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,0s,Country
B Lee ,2000-2012,221,110,44,1176,59,17.81,1407,83.58,0,3,16,Australia
JA Rudolph ,2003-2006,45,39,6,1174,81,35.57,1725,68.05,0,7,0,South Africa
Nawroz Mangal ,2009-2016,49,48,6,1139,129,27.11,1512,75.33,2,4,4,Afganistan
MH Cross ,2014-2019,52,48,1,1136,114,24.17,1536,73.95,2,5,0,SCOT)
T Mishra ,2006-2013,42,40,7,1128,72,34.18,1534,73.53,0,8,4,Kenya
HM Nicholls ,2015-2019,45,43,10,1120,124*,33.93,1359,82.41,1,9,5,New Zealand
PL Mommsen ,2010-2017,44,42,6,1115,139*,30.97,1615,69.04,2,6,2,SCOT)
MF Maharoof ,2004-2016,109,75,18,1113,69*,19.52,1294,86.01,0,2,3,Sri Lanka
CJ Anderson ,2013-2017,49,45,5,1109,131*,27.72,1020,108.72,1,4,4,New Zealand
HS Modi ,1996-2006,63,56,9,1109,78*,23.59,1906,58.18,0,5,5,Kenya
ES Szwarczynski ,2006-2014,41,40,3,1102,98,29.78,1615,68.23,0,10,2,Netherland
VS Solanki ,2000-2006,51,46,5,1097,106,26.75,1504,72.93,2,5,2,England
B Zuiderent ,1996-2011,57,56,10,1097,77*,23.84,1873,58.56,0,8,7,Netherland
PA Strang ,1994-2001,95,73,24,1090,47,22.24,1651,66.02,0,0,5,Zimbabwe
G Boycott ,1971-1981,36,34,4,1082,105,36.06,2020,53.56,1,9,1,England
F Behardien ,2013-2018,59,49,14,1074,70,30.68,1097,97.90,0,6,4,South Africa
NL McCullum ,2009-2015,84,62,11,1070,65,20.98,1220,87.70,0,4,3,New Zealand
Asif Mujtaba ,1986-1996,66,55,14,1068,113*,26.04,1671,63.91,1,6,8,Pakistan
DW Randall ,1976-1985,49,45,5,1067,88,26.67,1702,62.69,0,5,4,England
Hashmatullah Shahidi ,2013-2019,39,39,6,1062,97*,32.18,1667,63.70,0,9,4,Afganistan
DS Smith ,2003-2013,47,45,2,1059,107,24.62,1506,70.31,1,5,4,West Indies
JK Kamande ,1999-2011,86,72,11,1055,74,17.29,1685,62.61,0,3,8,Kenya
IDS Smith ,1980-1992,98,77,16,1055,62*,17.29,1061,99.43,0,3,7,New Zealand
C Kieswetter ,2010-2013,46,40,5,1054,107,30.11,1172,89.93,1,5,4,England
Anamul Haque ,2012-2019,38,35,0,1052,120,30.05,1488,70.69,3,3,6,Bangladesh
MP Stoinis ,2015-2019,41,38,7,1050,146*,33.87,1143,91.86,1,6,3,Australia
KD Mills ,2001-2015,170,101,34,1047,54,15.62,1282,81.66,0,2,8,New Zealand
JM How ,2005-2011,41,37,1,1046,139,29.05,1572,66.53,1,7,3,New Zealand
Gulbadin Naib ,2011-2019,65,56,8,1041,82*,21.68,1424,73.10,0,5,5,Afganistan
AD Russell ,2011-2019,56,47,9,1034,92*,27.21,794,130.22,0,4,6,West Indies
JP Faulkner ,2013-2017,69,52,22,1032,116,34.40,990,104.24,1,4,4,Australia
DSBP Kuruppu ,1983-1990,54,52,1,1022,72,20.03,1978,51.66,0,4,3,Sri Lanka
AG Prince ,2002-2007,52,41,12,1018,89*,35.10,1502,67.77,0,3,4,South Africa
SK Warne ,1993-2005,194,107,29,1018,55,13.05,1413,72.04,0,1,10,Australia
SM Patil ,1980-1986,45,42,1,1005,84,24.51,1223,82.17,0,9,4,India
KOA Powell ,2009-2018,46,44,0,1005,83,22.84,1278,78.63,0,9,4,West Indies
Rajin Saleh ,2003-2006,43,43,1,1005,108*,23.92,1833,54.82,1,6,5,Bangladesh
PW Borren ,2006-2014,58,50,5,1004,96,22.31,1176,85.37,0,5,5,Netherland
NFI McCallum ,2006-2011,43,42,6,1002,121*,27.83,1451,69.05,2,4,3,SCOT)
Waqar Younis ,1989-2003,262,139,45,969,37,10.30,1445,67.05,0,0,15,Pakistan
MD Marshall ,1980-1992,136,83,19,955,66,14.92,1246,76.64,0,2,5,West Indies
MG Johnson ,2005-2015,153,91,32,951,73*,16.11,987,96.35,0,2,6,Australia
A Kumble ,1990-2007,271,136,47,938,26,10.53,1536,61.06,0,0,18,India
J Srinath ,1991-2003,229,121,38,883,53,10.63,1109,79.62,0,1,19,India
DJ Richardson ,1991-1998,122,77,33,868,53,19.72,1298,66.87,0,1,6,South Africa
RA Harper ,1983-1996,105,73,20,855,45*,16.13,1162,73.58,0,0,5,West Indies
Z Khan ,2000-2012,200,101,35,792,34*,12.00,1078,73.46,0,0,15,India
GB Hogg ,1996-2008,123,65,26,790,71*,20.25,1004,78.68,0,2,9,Australia
Abdur Razzak ,2004-2014,153,97,39,779,53*,13.43,1020,76.37,0,1,12,Bangladesh
Saqlain Mushtaq ,1995-2003,169,98,38,711,37*,11.85,1434,49.58,0,0,13,Pakistan
PAJ DeFreitas ,1987-1997,103,66,23,690,67,16.04,823,83.83,0,1,4,England
TG Southee ,2008-2019,140,85,32,676,55,12.75,686,98.54,0,1,12,New Zealand
R Ashwin ,2010-2017,111,61,19,675,65,16.07,776,86.98,0,1,6,India
M Muralitharan ,1993-2011,350,162,63,674,33*,6.80,869,77.56,0,0,25,Sri Lanka
Abdul Qadir ,1983-1993,104,68,26,641,41*,15.26,849,75.50,0,0,6,Pakistan
CEL Ambrose ,1988-2000,176,96,36,639,31*,10.65,985,64.87,0,0,13,West Indies
GR Larsen ,1990-1999,121,70,27,629,37,14.62,970,64.84,0,0,6,New Zealand
D Gough ,1994-2006,159,87,38,609,46*,12.42,947,64.30,0,0,10,England
SL Malinga ,2004-2019,226,119,36,567,56,6.83,761,74.50,0,1,26,Sri Lanka
SCJ Broad ,2006-2016,121,68,25,529,45*,12.30,709,74.61,0,0,8,England
B Kumar ,2012-2019,114,52,15,526,53*,14.21,703,74.82,0,1,8,India
Umar Gul ,2003-2016,130,65,18,457,39,9.72,642,71.18,0,0,10,Pakistan
CJ McDermott ,1985-1996,138,78,17,432,37,7.08,492,87.80,0,0,15,Australia
RW Price ,2002-2012,102,59,17,406,46,9.66,701,57.91,0,0,10,Zimbabwe
Mushtaq Ahmed ,1989-2003,144,76,34,399,34*,9.50,698,57.16,0,0,10,Pakistan
Shoaib Akhtar ,1998-2011,163,84,40,394,43,8.95,538,73.23,0,0,11,Pakistan
DW Steyn ,2005-2019,125,51,12,365,60,9.35,562,64.94,0,1,8,South Africa
GP Wickramasinghe ,1990-2002,134,64,24,344,32,8.60,543,63.35,0,0,12,Sri Lanka
Saeed Ajmal ,2008-2015,113,70,24,324,33,7.04,535,60.56,0,0,11,Pakistan
CA Walsh ,1985-2000,205,79,33,321,30,6.97,451,71.17,0,0,11,West Indies
MA Holding ,1976-1987,102,42,11,282,64,9.09,377,74.80,0,2,9,West Indies
JM Anderson ,2002-2015,194,79,43,273,28,7.58,561,48.66,0,0,10,England
M Morkel ,2007-2018,117,47,18,268,32*,9.24,354,75.70,0,0,9,South Africa
Aaqib Javed ,1988-1998,163,51,26,267,45*,10.68,456,58.55,0,0,7,Pakistan
CRD Fernando ,2001-2012,147,61,35,239,20,9.19,392,60.96,0,0,9,Sri Lanka
M Dillon ,1997-2005,108,51,20,227,21*,7.32,411,55.23,0,0,9,West Indies
BKV Prasad ,1994-2001,161,63,31,221,19,6.90,367,60.21,0,0,8,India
NW Bracken ,2001-2009,116,35,18,199,21*,11.70,282,70.56,0,0,5,Australia
M Ntini ,1998-2009,173,47,24,199,42*,8.65,298,66.77,0,0,9,ICC/SA)
Imran Tahir ,2011-2019,107,36,16,157,29,7.85,225,69.77,0,0,6,South Africa
A Nehra ,2001-2011,120,46,21,141,24,5.64,246,57.31,0,0,9,India
Rubel Hossain ,2009-2019,101,52,24,140,17,5.00,249,56.22,0,0,11,Bangladesh
EJ Chatfield ,1979-1989,114,48,37,118,19*,10.72,346,34.10,0,0,6,New Zealand
GD McGrath ,1993-2007,250,68,38,115,11,3.83,236,48.72,0,0,14,Australia
AA Donald ,1991-2003,164,40,18,95,13,4.31,279,34.05,0,0,12,South Africa
